No,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"68,800","하락1,100",-1.57%,100,"4,072,711","5,919,638",50.56,"12,542,415",13.33,9.03,
2,SK하이닉스,"258,500","하락5,000",-1.90%,"5,000","1,881,886","728,002",55.12,"1,374,559",7.24,31.06,
3,LG에너지솔루션,"384,000","하락2,500",-0.65%,500,"898,560","234,000",4.19,"301,979",-77.20,-4.93,
4,삼성바이오로직스,"1,031,000","하락20,000",-1.90%,"2,500","733,804","71,174",12.90,"43,461",57.35,10.45,
5,한화에어로스페이스,"936,000","하락25,000",-2.60%,"5,000","482,633","51,563",44.15,"184,646",18.93,53.94,
6,삼성전자우,"56,700",하락400,-0.70%,100,"462,658","815,975",74.15,"925,499",10.98,N/A,
7,KB금융,"115,600","상승3,200",+2.85%,"5,000","440,970","381,462",77.74,"892,654",8.02,8.86,
8,현대차,"210,500",보합0,0.00%,"5,000","431,015","204,758",36.00,"372,330",4.59,12.43,
9,두산에너빌리티,"66,300","상승1,500",+2.31%,"5,000","424,692","640,561",23.78,"7,621,974",-416.98,1.52,
10,HD현대중공업,"466,500","상승2,500",+0.54%,"5,000","414,127","88,773",11.08,"247,270",47.22,11.39,
11,셀트리온,"178,500",상승700,+0.39%,"1,000","412,193","230,920",21.38,"283,520",82.60,2.46,
12,기아,"101,800",상승400,+0.39%,"5,000","404,831","397,673",39.71,"780,400",4.34,19.09,
13,NAVER,"228,500","하락3,500",-1.51%,100,"362,029","158,437",43.61,"1,076,418",19.95,7.90,
14,한화오션,"114,200","하락1,900",-1.64%,"5,000","349,924","306,413",15.04,"2,253,902",50.51,11.52,
15,신한지주,"68,700",상승700,+1.03%,"5,000","333,535","485,495",60.03,"857,830",7.54,8.11,
16,삼성물산,"162,900",상승300,+0.18%,100,"276,892","169,977",27.38,"213,161",13.01,6.83,
17,한국전력,"41,150","상승2,850",+7.44%,"5,000","264,168","641,964",20.24,"13,002,999",5.02,9.22,
18,현대모비스,"286,000",보합0,0.00%,"5,000","262,534","91,795",43.75,"146,201",6.30,9.35,
19,카카오,"56,800","상승2,100",+3.84%,100,"251,064","442,014",27.95,"3,966,137",164.16,0.56,
20,삼성생명,"124,100","상승1,000",+0.81%,500,"248,200","200,000",21.90,"98,104",11.71,6.18,
